point_index,image_x,image_y,original_x,original_y,lon,lat,avg_width,polygon_id
6,203.052903806652,766.1622678057469,571217.391357178,5937796.6399472635,10.075792943789047,53.58417671330953,27.266653606245853,1
7,237.02903626018886,750.951600229778,571222.1011393095,5937798.748454771,10.07586455610203,53.58419502273951,27.266653606245853,1
8,271.1781674848694,736.1337300509197,571226.8349025848,5937800.80251258,10.075936518231465,53.58421283953186,27.266653606245853,1
9,305.54705469840945,721.8333935733585,571231.5991285042,5937802.784829705,10.076008924117362,53.58423000741222,27.266653606245853,1
0,642.7689683792245,294.92263232196217,571278.3449358897,5937861.963333257,10.076728436973152,53.58475549025215,26.404940332681633,2
1,632.6823104982184,322.5904573481431,571276.9467202123,5937858.128010678,10.076706443586227,53.58472121243123,26.404940332681633,2
2,622.7035007686395,350.2973690515015,571275.5634544794,5937854.287269892,10.076684674786803,53.58468688388073,26.404940332681633,2
3,612.8133748960912,378.03606642891884,571274.1924821307,5937850.442122966,10.076663090683555,53.58465251405722,26.404940332681633,2
4,602.9927066170676,405.79943526279527,571272.8311380153,5937846.593556075,10.07664165124961,53.584618112185765,26.404940332681633,2
5,593.2222273892539,433.5805096148498,571271.4767511219,5937842.7425348405,10.076620316365,53.58458368730746,26.404940332681633,2
6,583.4826276680928,461.37242688433884,571270.1266447555,5937838.890010556,10.076599045820748,53.584549248335385,26.404940332681633,2
7,573.7545810191812,489.16839095203517,571268.7781398795,5937835.036925304,10.076577799370527,53.584514804100095,26.404940332681633,2
8,564.01875883925,516.9616320077398,571267.4285571569,5937831.184217516,10.076556536762752,53.584480363399436,26.404940332681633,2
9,554.2558371169443,544.7453636388021,571266.0752178873,5937827.332827928,10.076535217756083,53.58444593505173,26.404940332681633,2
0,318.57322235827155,844.1077971183779,571233.4048199485,5937785.835113556,10.076032325973744,53.5840774357473,24.747938158683507,3
1,283.86878883555505,859.0394025221508,571228.5940804946,5937783.765289734,10.075959197881561,53.5840594877782,24.747938158683507,3
2,248.949127578121,873.4609411304349,571223.7535061046,5937781.766171531,10.075885635398345,53.584042179244626,24.747938158683507,3
3,213.87396363340233,887.5003896196363,571218.8913758834,5937779.82001878,10.075811759509968,53.58402534959129,24.747938158683507,3
4,178.69883175950625,901.2876931292737,571214.0153880764,5937777.908818446,10.075737682368342,53.58400883588978,24.747938158683507,3
5,143.4764376199971,914.9539162750095,571209.1328487594,5937776.014402309,10.075663510168082,53.583992473870616,24.747938158683507,3
6,108.25812613897699,928.6306474023437,571204.2508753818,5937774.1185295535,10.075589346239447,53.58397609863771,24.747938158683507,3
7,73.09535151350013,942.449407184929,571199.3766005405,5937772.202968741,10.075515294144605,53.5839595453775,24.747938158683507,3
8,38.04117440627272,956.541127526291,571194.5173795213,5937770.249570049,10.075441460828555,53.58394264997988,24.747938158683507,3
9,3.1517097639099347,971.0355039286143,571189.6809909955,5937768.240355049,10.075367959670656,53.58392524981784,24.747938158683507,3
0,612.2235058354877,293.8421400467628,571274.1107142966,5937862.1131114345,10.076664521577204,53.58475741182329,30.064240990486574,4
1,602.8317909779621,318.8067590270419,571272.808831839,5937858.652508126,10.076644068754138,53.584726488482644,30.064240990486574,4
2,593.6397175729863,343.84561493410445,571271.5346237421,5937855.18161407,10.076624031577046,53.58469546889444,30.064240990486574,4
3,584.5945099968817,368.9379288347575,571270.2807742325,5937851.703309651,10.076604300212875,53.584664379939035,30.064240990486574,4
4,575.6430861274664,394.06387061096484,571269.0399250495,5937848.220343727,10.076584764157118,53.5846332473205,30.064240990486574,4
5,566.7321872844977,419.2042211955822,571267.8046934586,5937844.7353804475,10.076565312516566,53.58460209598489,30.064240990486574,4
6,557.8084696013209,444.34002195673867,571266.567684916,5937841.251047866,10.076545834211688,53.584570950555346,30.064240990486574,4
7,548.8186231469346,469.45223440672845,571265.3215095823,5937837.769985105,10.076526218236813,53.58453983575383,30.064240990486574,4
8,539.7094604467496,494.52138893857807,571264.0587945933,5937834.2948910445,10.076506353856567,53.584508776836934,30.064240990486574,4
9,530.4280281039673,519.5272409684,571262.7721995325,5937830.828571998,10.076486130850443,53.58447780002227,30.064240990486574,4
0,625.0943266189423,571.3812547228183,571275.8948715084,5937823.640552356,10.07668267989106,53.58441141814676,20.928734961823846,5
1,669.1132700988453,551.4187335458606,571281.9967912524,5937826.4077632995,10.076775468795878,53.58443545754552,20.928734961823846,5
2,713.1280510820795,531.44703609987,571288.0981339898,5937829.17624626,10.07686824938131,53.5844595083817,20.928734961823846,5
3,757.1404043923092,511.46998916868495,571294.1991402026,5937831.945470768,10.076961025158202,53.584483565855315,20.928734961823846,5
4,801.1520662583596,491.4914189256114,571300.3000505671,5937834.714906437,10.077053799640321,53.58450762516711,20.928734961823846,5
5,845.1647735891263,471.515151986734,571306.4011058542,5937837.484022823,10.077146576342816,53.58453168151727,20.928734961823846,5
6,889.1802629288678,451.5450157613918,571312.5025467844,5937840.252289367,10.077239358780007,53.58455573010491,20.928734961823846,5
7,933.2002685849102,431.58483697854825,571318.6046137676,5937843.019175607,10.077332150461523,53.58457976613012,20.928734961823846,5
8,977.2265223532261,411.6384437326568,571324.7075468661,5937845.784150891,10.077424954891653,53.58460378479129,20.928734961823846,5
9,1021.2607524042359,391.7096656793302,571330.8115856395,5937848.546684352,10.077517775567017,53.58462778128488,20.928734961823846,5
0,422.5811676664839,904.3429378749314,571247.8224339312,5937777.4852994615,10.076248165841054,53.58400043768717,27.029916542137048,6
1,419.78026366789356,918.5924519732832,571247.4341717409,5937775.510027351,10.076241851011936,53.58398273875083,27.029916542137048,6
2,416.56975350387665,932.7551962749429,571246.9891298156,5937773.546783295,10.076234681403824,53.583965155623886,27.029916542137048,6
3,412.91023870218237,946.808497640508,571246.4818467266,5937771.598710255,10.076226575252706,53.583947717293825,27.029916542137048,6
4,408.7637295591127,960.7257569409006,571245.9070563293,5937769.669495408,10.076217453868244,53.58393045761245,27.029916542137048,6
5,404.09463706933826,974.4763703699705,571245.2598252647,5937767.763381064,10.076207243712892,53.5839134153752,27.029916542137048,6
6,398.870884418681,988.0258445272073,571244.5357070348,5937765.885148709,10.076195878725178,53.5838966341569,27.029916542137048,6
7,393.0658827164641,1001.3365136841205,571243.7310158791,5937764.040019578,10.076183304433268,53.583880161380975,27.029916542137048,6
8,386.65948765880887,1014.368265350899,571242.8429593879,5937762.233554076,10.076169479934759,53.583864047397505,27.029916542137048,6
9,379.6394377303286,1027.079850010283,571241.8698378663,5937760.4714702265,10.076154380866125,53.5838483438246,27.029916542137048,6
0,346.6462037895212,1027.0946937652002,571237.2963054348,5937760.46941258,10.076085307630244,53.58384894663353,31.191663840529216,7
1,352.1448426899095,1015.5425078755192,571238.0585284828,5937762.07078021,10.07609718484278,53.58386323451469,31.191663840529216,7
2,357.4714959383655,1003.9100418306683,571238.7969108259,5937763.683276299,10.076108704544238,53.583877625644256,31.191663840529216,7
3,362.60983563139945,992.1931995052267,571239.5091890849,5937765.3074686555,10.076119832680755,53.583892125432655,31.191663840529216,7
4,367.54327571061026,980.3886458787584,571240.1930640952,5937766.94381958,10.076130534633881,53.58390673834704,31.191663840529216,7
5,372.2550212325187,968.4938940117394,571240.8462077364,5937768.592673812,10.076140775320964,53.58392146780194,31.191663840529216,7
6,376.72819637474856,956.5074148723235,571241.4662806769,5937770.254243308,10.076150519459661,53.58393631602013,31.191663840529216,7
7,380.94600914575994,944.428742930054,571242.0509552055,5937771.928592599,10.076159731909424,53.5839512838979,31.191663840529216,7
8,384.8918211595177,932.258529205227,571242.5979249037,5937773.615631441,10.076168377815883,53.58396637093768,31.191663840529216,7
9,388.5493538971609,919.9986244315098,571243.1049332384,5937775.315103283,10.07617642304005,53.58398157514054,31.191663840529216,7
0,0.9083519577315542,945.4641078969715,571189.3700160332,5937771.7850699825,10.07536407176189,53.583957148245865,20.82316629603107,8
1,33.57152290249317,929.9667085288557,571193.8977950286,5937773.933324342,10.075432943838043,53.5839758398482,20.82316629603107,8
2,66.4683541148254,914.9717716037972,571198.4579640836,5937776.011927199,10.075502289262317,53.5839939010577,20.82316629603107,8
3,99.6016876586364,900.5070111801904,571203.050917166,5937778.017036823,10.075572113105608,53.5840112972946,20.82316629603107,8
4,132.9730194119134,886.6002244036398,571207.6768616348,5937779.944799965,10.075642417617605,53.58402799390092,20.82316629603107,8
5,166.5824528250004,873.2792702869802,571212.3358118302,5937781.791354801,10.075713202130649,53.58404395616781,20.82316629603107,8
6,200.42847588421807,860.5715636285528,571217.0275581568,5937783.552901081,10.075784462608793,53.584059149970244,20.82316629603107,8
7,234.5080089276325,848.5041782471258,571221.7516737103,5937785.225685826,10.075856191744625,53.58407354163751,20.82316629603107,8
8,268.8163220146427,837.1035924693919,571226.5075028252,5937786.806038599,10.075928378794345,53.584087098271745,20.82316629603107,8
9,303.3469862550358,826.3954483446066,571231.2941543268,5937788.290404895,10.076001009483472,53.584099788049045,20.82316629603107,8
0,224.24325835148636,789.321256050806,571220.3287707677,5937793.429641053,10.075836574356893,53.584147463492776,24.053451873989854,9
1,199.86973540342268,798.716272032029,571216.9501053761,5937792.127300993,10.075785249738301,53.5841362182681,24.053451873989854,9
2,175.85433308598203,808.9941804978755,571213.6210827786,5937790.702574099,10.075734646962415,53.58412386639438,24.053451873989854,9
3,152.12137941600983,819.9098473887201,571210.3312133012,5937789.189440933,10.075684615363473,53.584110714678815,24.053451873989854,9
4,128.57517870195107,831.2235673325639,571207.067231577,5937787.621129528,10.075634962181889,53.58409706354236,24.053451873989854,9
5,105.10811661447795,842.7008772721406,571203.814220074,5937786.030141226,10.075585469538726,53.58408320709921,24.053451873989854,9
6,81.60781205170183,854.1098238632704,571200.5566004887,5937784.448629473,10.075535909495056,53.584069436426425,24.053451873989854,9
7,57.96387514646375,865.2173996311179,571197.2790705431,5937782.908893838,10.075486058312965,53.58405604387638,24.053451873989854,9
8,34.07480003874356,875.7862508773276,571193.967559463,5937781.443836365,10.075435710990027,53.58404332704836,24.053451873989854,9
9,9.855657238799495,885.5732642303814,571190.6102942959,5937780.0871575065,10.075384697408255,53.58403159040459,24.053451873989854,9
0,1.452659302799134,891.3854531571897,571189.4454680879,5937779.281470055,10.075366921482013,53.58402450785272,23.932022136871108,10
1,34.505176993702044,875.5024799345091,571194.0272184515,5937781.483172783,10.075436620981781,53.5840436724638,23.932022136871108,10
2,67.58156449793017,859.6692860583984,571198.612277656,5937783.677975081,10.075506368942488,53.58406277457078,23.932022136871108,10
3,100.69692587371487,843.9177862621955,571203.2027394307,5937785.86145292,10.075576195975597,53.58408177413074,23.932022136871108,10
4,133.866135090355,828.2800203114394,571207.8006656101,5937788.029164938,10.075646132206698,53.58410063094918,23.932022136871108,10
5,167.10375061276045,812.7882118430316,571212.408074293,5937790.176644284,10.075716207094827,53.5841193046085,23.932022136871108,10
6,200.4239090488553,797.4747832215195,571217.0269251006,5937792.2993965605,10.075786449209321,53.584137754451355,23.932022136871108,10
7,233.84021403295682,782.3723580970835,571221.6591037727,5937794.392899466,10.075856885997116,53.58415593957961,23.932022136871108,10
8,267.365652480271,767.5138222394775,571226.3064105597,5937796.452594364,10.075927543605482,53.584173818780144,23.932022136871108,10
9,301.0124782536949,752.932311346442,571230.9705440958,5937798.473887974,10.075998446638854,53.58419135054222,23.932022136871108,10
0,-8.072991400063017,924.7581444325479,571188.1250194014,5937774.655337129,10.075345923670545,53.58398311223205,26.437675812334646,11
1,18.81017774156489,912.7306308304281,571191.8515727351,5937776.3225948345,10.075402585314581,53.58399758991927,26.437675812334646,11
2,45.83335636047159,901.0208865899988,571195.5975342264,5937777.945803252,10.075459530064116,53.58401166907532,26.437675812334646,11
3,72.96301801226922,889.5598563361419,571199.3582564291,5937779.534534859,10.075516689912563,53.584025436358246,26.437675812334646,11
4,100.1675713819469,878.2776351603991,571203.1293601452,5937781.098479895,10.07557400093187,53.58403897944817,26.437675812334646,11
5,127.41684519914159,867.1037900872425,571206.9066630238,5937782.647401801,10.075631402184017,53.5840523866564,26.437675812334646,11
6,154.6815271751931,855.9675711230376,571210.6861017861,5937784.191107965,10.075688834539745,53.58406574667319,26.437675812334646,11
7,181.93261429907344,844.7981464247927,571214.4636560257,5937785.739417118,10.075746239520278,53.58407914828498,26.437675812334646,11
8,209.14083934159967,833.5247773361046,571218.2352687103,5937787.302135075,10.07580355809115,53.58409268016727,26.437675812334646,11
9,236.27610047204138,822.0770023985419,571221.9967671145,5937788.889029226,10.075860729462246,53.58410643066599,26.437675812334646,11
0,-0.11180162594524745,944.5807745206627,571189.2286020236,5937771.907517932,10.075361963954554,53.58395826787794,19.125751557189353,13
1,29.063851997186237,932.2576678061031,571193.2729402747,5937773.615750848,10.075423434349801,53.58397307065815,19.125751557189353,13
2,58.26753818320995,920.0011596590706,571197.3211644085,5937775.3147518495,10.075484961368888,53.583987789912115,19.125751557189353,13
3,87.51326447442754,907.8453338569442,571201.3752161548,5937776.999796233,10.075546573258963,53.58400238291539,19.125751557189353,13
4,116.81469402771124,895.8244380331905,571205.4369895048,5937778.6661365805,10.075608297540798,53.584016806745815,19.125751557189353,13
5,146.18503158996245,883.9729462162096,571209.5083149046,5937780.308994091,10.075670160768079,53.58403101820778,19.125751557189353,13
6,175.63688483733114,872.3255614302242,571213.5909400342,5937781.923558221,10.075732188237025,53.58404497383157,19.125751557189353,13
7,205.1821241437128,860.917209916316,571217.6865103686,5937783.504987485,10.075794403692985,53.58405862988325,19.125751557189353,13
8,234.83176442121643,849.7830874375193,571221.7965527984,5937785.048403033,10.075856829081589,53.58407194230915,19.125751557189353,13
9,264.5958153240196,838.9586187317614,571225.9224548648,5937786.548894278,10.075919484236415,53.584084866789226,19.125751557189353,13
